team,No of players,90s played,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Alaves,31.66666667,38,32.66666667,339.6666667,101.3333333,29.9,8.94,2.666666667,0.08,0.273333333,17.43333333,12.66666667,5.666666667,7,39.73333333,34.3,0.106666667,-7.066666667,-7.3
Amiens,27,28,30,229,77,33.6,8.18,2.75,0.12,0.35,19.3,13,3,5,27.4,23.4,0.1,2.6,3.6
Angers,29,34.66666667,36,382.6666667,123.6666667,32.26666667,11.20666667,3.61,0.08,0.25,18.76666667,17.33333333,5,5.333333333,39.13333333,34.96666667,0.093333333,-3.133333333,-3.966666667
Arminia,26,34,24.5,346,104.5,30.2,10.18,3.075,0.07,0.22,19.1,12,1.5,2,29.6,28,0.085,-5.1,-5
Arsenal,28.33333333,38,56.33333333,479,157.3333333,33.03333333,12.60666667,4.136666667,0.106666667,0.333333333,17.3,21,4.666666667,5.666666667,53.1,48.9,0.106666667,3.233333333,2.766666667
Aston Villa,27.66666667,38,47.33333333,476,161.3333333,33.86666667,12.52666667,4.243333333,0.093333333,0.276666667,17.46666667,19,3,4,46.93333333,43.9,0.093333333,0.4,0.433333333
Atalanta,30.66666667,38,82.66666667,637.3333333,214.6666667,33.5,16.77333333,5.65,0.123333333,0.356666667,16.8,25,6,7.666666667,73.53333333,67.66666667,0.11,9.133333333,9
Athletic Club,26.33333333,38,41,420,134.6666667,32.03333333,11.05333333,3.546666667,0.086666667,0.266666667,17.66666667,14,5,7.333333333,44.73333333,39,0.096666667,-3.733333333,-3
Atletico Madrid,27,38,59.33333333,450,155.3333333,34.5,11.84,4.086666667,0.12,0.35,17.46666667,11.66666667,5,6.666666667,54.66666667,49.46666667,0.113333333,4.666666667,4.866666667
Augsburg,26.33333333,34,39.66666667,350.6666667,118,33.6,10.31333333,3.47,0.103333333,0.31,18.3,15,3.333333333,5,39.03333333,35.1,0.1,0.633333333,1.233333333
Barcelona,30.33333333,38,77.33333333,524.6666667,207,39.46666667,13.80666667,5.45,0.136666667,0.35,17.2,34.66666667,5.333333333,7,67.73333333,62.23333333,0.123333333,9.6,9.766666667
