team,players_used,90s,Goals,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Distance Shot,Free Kicks,Penalty Kicks,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Alaves,31.666666666666668,38.0,32.666666666666664,339.6666666666667,101.33333333333333,29.900000000000002,8.94,2.6666666666666665,0.08,0.2733333333333333,17.433333333333334,12.666666666666666,5.666666666666667,7.0,39.73333333333333,34.300000000000004,0.10666666666666667,-7.066666666666666,-7.300000000000001
Amiens,27.0,28.0,30.0,229.0,77.0,33.6,8.18,2.75,0.12,0.35,19.3,13.0,3.0,5.0,27.4,23.4,0.1,2.6,3.6
Angers,29.0,34.666666666666664,36.0,382.6666666666667,123.66666666666667,32.26666666666667,11.206666666666669,3.61,0.08,0.25,18.766666666666666,17.333333333333332,5.0,5.333333333333333,39.13333333333333,34.96666666666667,0.09333333333333334,-3.1333333333333333,-3.966666666666667
Arminia,26.0,34.0,24.5,346.0,104.5,30.2,10.18,3.075,0.07,0.22,19.1,12.0,1.5,2.0,29.6,28.0,0.085,-5.1000000000000005,-5.0
Arsenal,28.333333333333332,38.0,56.333333333333336,479.0,157.33333333333334,33.03333333333333,12.606666666666667,4.136666666666667,0.10666666666666667,0.3333333333333333,17.3,21.0,4.666666666666667,5.666666666666667,53.1,48.9,0.10666666666666667,3.233333333333333,2.766666666666667
Aston,27.666666666666668,38.0,47.333333333333336,476.0,161.33333333333334,33.86666666666667,12.526666666666666,4.243333333333333,0.09333333333333334,0.27666666666666667,17.46666666666667,19.0,3.0,4.0,46.93333333333334,43.9,0.09333333333333334,0.4000000000000001,0.4333333333333334
Atalanta,30.666666666666668,38.0,82.66666666666667,637.3333333333334,214.66666666666666,33.5,16.773333333333333,5.6499999999999995,0.12333333333333334,0.3566666666666667,16.8,25.0,6.0,7.666666666666667,73.53333333333333,67.66666666666667,0.11,9.133333333333335,9.0
Athletic,26.333333333333332,38.0,41.0,420.0,134.66666666666666,32.03333333333333,11.053333333333333,3.546666666666667,0.08666666666666667,0.26666666666666666,17.666666666666668,14.0,5.0,7.333333333333333,44.73333333333333,39.0,0.09666666666666668,-3.733333333333333,-3.0
Atletico,27.0,38.0,59.333333333333336,450.0,155.33333333333334,34.5,11.840000000000002,4.086666666666667,0.12,0.35000000000000003,17.46666666666667,11.666666666666666,5.0,6.666666666666667,54.666666666666664,49.46666666666667,0.11333333333333333,4.666666666666667,4.866666666666667
Augsburg,26.333333333333332,34.0,39.666666666666664,350.6666666666667,118.0,33.6,10.313333333333333,3.47,0.10333333333333333,0.31,18.3,15.0,3.3333333333333335,5.0,39.03333333333333,35.1,0.09999999999999999,0.6333333333333333,1.2333333333333332
Barcelona,30.333333333333332,38.0,77.33333333333333,524.6666666666666,207.0,39.46666666666667,13.806666666666667,5.45,0.1366666666666667,0.35000000000000003,17.2,34.666666666666664,5.333333333333333,7.0,67.73333333333333,62.23333333333333,0.12333333333333334,9.6,9.766666666666667
Bayer,27.666666666666668,34.0,61.666666666666664,461.6666666666667,176.66666666666666,38.300000000000004,13.576666666666668,5.193333333333333,0.12666666666666668,0.3333333333333333,17.0,9.666666666666666,2.3333333333333335,3.6666666666666665,56.0,53.1,0.11666666666666665,5.666666666666667,6.233333333333333
Bayern,29.333333333333332,34.0,95.66666666666667,616.3333333333334,239.0,38.800000000000004,18.126666666666665,7.03,0.14666666666666667,0.37333333333333335,16.7,11.333333333333334,6.666666666666667,7.0,84.8,79.33333333333333,0.13,10.866666666666667,9.666666666666666
Benevento,29.0,38.0,40.0,411.0,128.0,31.1,10.82,3.37,0.09,0.27,17.7,17.0,5.0,7.0,40.6,35.0,0.09,-0.6,0.0
Bochum,28.0,34.0,37.0,409.0,136.0,33.3,12.03,4.0,0.08,0.24,18.2,17.0,4.0,6.0,40.6,35.9,0.09,-3.6,-2.9
